zone_id,date,air_quality_index
Z001,2025-01-01,125.49341077508572
Z001,2025-01-02,74.05380455237403
Z001,2025-01-03,83.35824672767393
Z001,2025-01-04,27.3447516926336
Z001,2025-01-05,9.122634363560506
Z001,2025-01-06,137.35678496122262
Z001,2025-01-07,57.94087101521913
Z001,2025-01-08,50.75241536234665
Z001,2025-01-09,122.30673778393482
Z001,2025-01-10,45.011536395427356
Z001,2025-01-11,60.3559311633819
Z001,2025-01-12,78.61860466626185
Z001,2025-01-13,42.367279783225
Z001,2025-01-14,142.1590116944156
Z001,2025-01-15,116.44013703049708
Z001,2025-01-16,69.97268149666748
Z001,2025-01-17,95.24484970103214
Z001,2025-01-18,61.925865612317715
Z001,2025-01-19,93.38039479613352
Z001,2025-01-20,135.3106835732712
Z001,2025-01-21,55.858767810953246
Z001,2025-01-22,89.9678677729721
Z001,2025-01-23,44.32819297928615
Z001,2025-01-24,24.64399181492994
Z001,2025-01-25,131.9988194037741
Z001,2025-01-26,125.52650689218024
Z001,2025-01-27,61.154225339200984
Z001,2025-01-28,15.922960388619423
Z001,2025-01-29,
Z001,2025-01-30,
Z001,2025-01-31,89.66696433141146
Z001,2025-02-01,102.8863525365284
Z001,2025-02-02,
Z001,2025-02-03,114.88257859201354
Z001,2025-02-04,67.77127089133221
Z001,2025-02-05,51.307250234111756
Z001,2025-02-06,4.861360719843466
Z001,2025-02-07,80.09839826784993
Z001,2025-02-08,123.87729433522564
Z001,2025-02-09,116.91040560616216
Z001,2025-02-10,74.97177701529824
Z001,2025-02-11,65.44692775427652
Z001,2025-02-12,3.2257762726365327
Z001,2025-02-13,
Z001,2025-02-14,38.32161894459191
Z001,2025-02-15,145.020374355377
Z001,2025-02-16,70.66083119253392
Z001,2025-02-17,90.0079167413488
Z001,2025-02-18,2.623079491797342
Z001,2025-02-19,139.43131177821255
Z001,2025-02-20,109.27132995437223
Z001,2025-02-21,57.86155903519763
Z001,2025-02-22,35.015368065797645
Z001,2025-02-23,59.30637939730391
Z001,2025-02-24,14.18749148250829
Z001,2025-02-25,10.354082660759872
Z001,2025-02-26,35.390877854479676
Z001,2025-02-27,141.9340953520626
Z001,2025-02-28,87.18119882893976
Z001,2025-03-01,98.1958749235833
Z001,2025-03-02,83.78352397034553
Z001,2025-03-03,51.466258753385304
Z001,2025-03-04,90.96228357617237
Z001,2025-03-05,
Z001,2025-03-06,46.67176513765158
Z001,2025-03-07,2.3596838721651805
Z001,2025-03-08,31.904872577671263
Z001,2025-03-09,57.79979597047327
Z001,2025-03-10,105.19758213145958
Z001,2025-03-11,87.77308636777676
Z001,2025-03-12,59.33227040975852
Z001,2025-03-13,83.35032591478722
Z001,2025-03-14,78.71172358438136
Z001,2025-03-15,101.12262387866406
Z001,2025-03-16,110.84683789199862
Z001,2025-03-17,52.806870072901894
Z001,2025-03-18,7.876653156653202
Z001,2025-03-19,100.77319521183308
Z001,2025-03-20,136.29785301079116
Z001,2025-03-21,125.46615215476707
Z001,2025-03-22,74.01523060706022
Z001,2025-03-23,56.04755925416886
Z001,2025-03-24,149.64058605337297
Z001,2025-03-25,74.94179677546853
Z001,2025-03-26,120.48058139928696
Z001,2025-03-27,62.0068810705656
Z001,2025-03-28,
Z001,2025-03-29,59.64659506191476
Z001,2025-03-30,118.89441879247293
