ID,trips_thousands
ID0001,297.5060349884433
ID0002,312.3191935458739
ID0003,320.36888094282006
ID0004,307.8021814523255
ID0005,276.6510631479984
ID0006,296.6660622538813
ID0007,356.0203949183351
ID0008,289.22418800947366
ID0009,280.1340750408858
ID0010,279.8895678607053
ID0011,287.0110642780236
ID0012,314.61708447864464
ID0013,267.5200157547122
ID0014,281.96254702417525
ID0015,272.07860460277755
ID0016,306.5471064674073
ID0017,298.12353946313476
ID0018,362.315077219096
ID0019,340.110961448099
ID0020,291.0849759393033
ID0021,368.9741821986329
ID0022,317.09746310343115
ID0023,283.87087658639496
ID0024,294.7921609136632
ID0025,286.01187448581777
ID0026,258.1936437445596
ID0027,304.3360988327966
ID0028,300.92790160095745
ID0029,321.9926972288449
ID0030,279.5508558168451
ID0031,267.42353573707953
ID0032,302.1358532939718
ID0033,295.24917206167163
ID0034,335.7136457290531
ID0035,311.01003599282524
ID0036,336.5511716860725
ID0037,307.87867092003125
ID0038,316.1757810923859
ID0039,289.65594953143454
ID0040,322.5324969407589
ID0041,339.7129486747148
ID0042,303.74423438255263
ID0043,267.940605395316
ID0044,321.10518068452075
ID0045,318.6119174784646
ID0046,309.30067743845336
ID0047,300.3008846745674
ID0048,308.34639038867397
ID0049,353.2154073272721
ID0050,332.2925423968845
ID0051,331.6660109019068
ID0052,279.4873435885782
ID0053,279.62873353161467
ID0054,349.56723982659054
ID0055,298.3418267757056
ID0056,292.9113498473213
ID0057,299.9521616195744
ID0058,251.5937577726526
ID0059,333.012701538597
ID0060,277.55272103684615
ID0061,283.1300428009862
ID0062,305.74600350655953
ID0063,289.8255849237331
ID0064,264.748422692283
ID0065,274.0529120721666
ID0066,296.327302190457
ID0067,311.5005498122795
ID0068,288.331839806972
ID0069,319.75436817371803
ID0070,290.05855461157296
ID0071,280.90305343626085
ID0072,287.0358056786873
ID0073,293.40654548103754
ID0074,277.4020305762782
ID0075,292.89359070628666
ID0076,301.20440940662473
ID0077,283.3448169686239
ID0078,319.90163557783944
ID0079,303.2824426295996
ID0080,305.2779883292968
ID0081,301.00444578137393
ID0082,291.5748571091499
ID0083,271.40197328305044
ID0084,356.232570916437
ID0085,306.4385747629382
ID0086,273.8433337143092
ID0087,287.59527406746673
ID0088,288.30657794077814
ID0089,304.4303270568933
ID0090,269.3501094215977
ID0091,336.3644163277896
ID0092,310.4853580185622
ID0093,278.1063933565153
ID0094,326.9243200658731
ID0095,342.2174890426659
ID0096,286.74782605387526
ID0097,323.4528209107001
ID0098,303.25799020978775
ID0099,256.0644047842603
ID0100,303.55020312771455
ID0101,290.7499015914701
ID0102,338.40385925339933
ID0103,284.38181479241393
ID0104,312.35853580492
ID0105,277.9093872423242
ID0106,303.71570706292886
ID0107,286.4268991069788
ID0108,295.5988264949401
ID0109,317.5875896607925
ID0110,292.7070935436391
ID0111,302.2988093789414
ID0112,291.95534102908033
ID0113,275.53935765724634
ID0114,287.605398762962
ID0115,301.5989725961409
ID0116,265.4496403301681
ID0117,288.5818223823441
ID0118,315.0762342083042
ID0119,296.43321032653813
ID0120,275.9771453943367
ID0121,320.80065960505397
ID0122,341.7814643247983
ID0123,273.76058731696696
ID0124,319.2517043616646
ID0125,315.6581478586191
ID0126,298.5456020588621
ID0127,319.05378188153315
ID0128,334.2275857154637
ID0129,243.04446266032886
ID0130,313.30844806170944
ID0131,304.92991081412003
ID0132,307.95687176074364
ID0133,336.1813736502198
ID0134,378.1325738331552
ID0135,312.1405247284539
ID0136,327.05978578041356
ID0137,280.94547798889187
ID0138,279.40484464965647
ID0139,289.10038634654325
ID0140,311.7646621097778
ID0141,328.05643451591106
ID0142,341.00968562156356
ID0143,269.34635572561587
ID0144,300.55401436130956
ID0145,296.69961382807713
ID0146,303.678408585745
ID0147,286.65749648704747
ID0148,320.2923566376669
ID0149,321.3971142351144
ID0150,314.14639131166507
ID0151,320.19667196211174
ID0152,285.7165974407923
ID0153,309.0869164028398
ID0154,296.37097654949423
ID0155,299.12528127625137
ID0156,316.755336448494
ID0157,349.59076402814856
ID0158,296.919013929722
ID0159,300.8212925273184
ID0160,329.08259666457224
ID0161,341.34199134848166
ID0162,307.17402282896063
ID0163,334.34958699561537
ID0164,267.5177765339659
ID0165,279.2309747201192
ID0166,288.57661676874807
ID0167,296.21228496649525
ID0168,312.99499406479055
ID0169,332.7917650994703
ID0170,280.29261512912245
ID0171,234.08460081081876
ID0172,263.78173918044257
ID0173,267.96781717044894
ID0174,274.31869628595365
ID0175,297.49085308248084
ID0176,337.6725154523308
ID0177,322.92199943811585
ID0178,323.5708901524971
ID0179,326.89589531073943
ID0180,306.5047446552735
ID0181,298.4659850694764
ID0182,306.0592906885884
ID0183,354.3646069271119
ID0184,297.37444073242324
ID0185,310.6343545658923
ID0186,295.86929767267674
ID0187,314.7808320279302
ID0188,273.5853566539985
ID0189,345.6243564213948
ID0190,306.74753542669646
ID0191,275.27886869021523
ID0192,294.3355312936439
ID0193,295.833774206755
ID0194,303.66172053671323
ID0195,306.31193543943886
ID0196,318.61827284305
ID0197,267.746905099347
ID0198,280.59225488997373
ID0199,262.0533911826704
ID0200,275.71620889769474
ID0201,320.4394405004311
ID0202,333.7177416131587
ID0203,297.08874290788833
ID0204,270.5189221471386
ID0205,294.57173231365226
ID0206,300.93452233871733
ID0207,314.4444157160327
ID0208,314.51377649292965
ID0209,332.70751582523536
ID0210,306.6513721297929
ID0211,308.9879834711147
ID0212,302.5503131182548
ID0213,327.1636358150455
ID0214,270.7800046665812
ID0215,266.9104078730144
ID0216,319.35539071884995
ID0217,303.68417577115997
ID0218,304.5572518414486
ID0219,323.72439586808196
ID0220,325.34378136037265
ID0221,294.6205986636363
ID0222,297.2126641841209
ID0223,265.8962063374086
ID0224,302.73822011533855
ID0225,317.8722853297835
ID0226,351.28580162126894
ID0227,319.58440090834245
ID0228,314.0184582133453
ID0229,284.7777358912601
ID0230,340.87568365478774
ID0231,304.2694604276245
ID0232,321.52356065622746
ID0233,303.7988570340731
ID0234,270.370913364713
ID0235,304.5162190180223
ID0236,265.50484824372245
ID0237,262.19781828724047
ID0238,350.8870317209001
ID0239,307.77127229642053
ID0240,293.79207185675205
ID0241,302.56333793591546
ID0242,285.69211788866164
ID0243,282.88743240564025
ID0244,315.1581322606168
ID0245,295.20966131699447
ID0246,275.2036393555545
ID0247,309.9450128441895
ID0248,304.15723464836447
ID0249,285.7998072884512
ID0250,335.1736623482183
ID0251,317.7795024118087
ID0252,333.21417317584667
ID0253,267.84194262143865
ID0254,288.19052782695934
ID0255,334.4790104473866
ID0256,281.75969737719265
ID0257,309.41117493591366
ID0258,263.3925712142983
ID0259,326.96678493458353
ID0260,288.87071317160064
ID0261,325.90473183982965
ID0262,302.86489886761353
ID0263,302.4024095868827
ID0264,328.8283611754717
ID0265,261.9085691861595
ID0266,285.6716506284803
ID0267,329.05472708658175
ID0268,279.98566607415324
ID0269,259.47308303202635
